"building","day","device","floor","level","mac","name","room","time"
"block-9","Monday","Motorola Moto G (5S)","ground","-69","58:b6:33:66:51:48","IIITV-Staff","9015","14:03:25"
"block-9","Monday","","first","-67","24:c9:a1:09:9a:c8","IIITV-Staff","9114","14:03:37"
"block-9","Monday","","first","-70","24:c9:a1:49:9a:c8","IIITV2","9114","14:03:37"
"block-9","Monday","","first","-54","2c:c5:d3:23:c2:38","IIITV1","9114","14:03:37"
"block-9","Monday","","first","-57","2c:c5:d3:63:c2:38","IIITV-Staff","9114","14:03:37"
"block-9","Monday","","first","-81","24:c9:a1:49:a1:58","IIITV2","9114","14:03:37"
"block-9","Monday","","first","-81","24:c9:a1:09:a1:58","IIITV-Staff","9114","14:03:37"
"block-9","Monday","","first","-73","6c:aa:b3:08:ad:b8","IIITV-Staff","9114","14:03:37"
"block-9","Monday","","first","-73","6c:aa:b3:48:ad:b8","IIITV2","9114","14:03:37"
"block-9","Monday","","first","-68","24:c9:a1:09:9f:08","IIITV-Staff","9114","14:03:37"
"block-9","Monday","","first","-68","24:c9:a1:49:9f:08","IIITV2","9114","14:03:37"
"block-9","Monday","","first","-45","58:b6:33:66:51:48","IIITV-Staff","9114","14:03:37"
"block-9","Monday","","first","-45","58:b6:33:26:51:48","IIITV1","9114","14:03:37"
"block-9","Monday","","first","-81","f0:3e:90:0c:24:78","IIITV1","9114","14:03:37"
"block-9","Monday","","first","-79","f0:3e:90:4c:24:78","IIITV-Staff","9114","14:03:37"
"block-9","Monday","","first","-79","58:b6:33:26:56:c8","IIITV1","9114","14:03:37"
"block-9","Monday","","first","-79","58:b6:33:66:56:c8","IIITV-Staff","9114","14:03:37"
"block-9","Monday","","first","-77","f0:3e:90:8c:24:78","IIITV2","9114","14:03:37"
"block-9","Monday","","first","-78","24:c9:a1:49:a7:28","IIITV2","9114","14:03:37"
"block-9","Monday","","first","-80","24:c9:a1:09:a7:28","IIITV-Staff","9114","14:03:37"
"block-9","Monday","Motorola Moto G (4)","ground","-85","24:c9:a1:07:2f:38","IIITV-Staff","9016","14:03:48"
"block-9","Monday","Motorola Moto G (4)","ground","-86","24:c9:a1:47:2f:38","IIITV2","9016","14:03:48"
"block-9","Monday","Motorola Moto G (4)","ground","-82","2c:c5:d3:23:c2:38","IIITV1","9016","14:03:48"
"block-9","Monday","Motorola Moto G (4)","ground","-82","2c:c5:d3:63:c2:38","IIITV-Staff","9016","14:03:48"
"block-9","Monday","Motorola Moto G (4)","ground","-77","24:c9:a1:49:9a:c8","IIITV2","9016","14:03:33"
"block-9","Monday","Motorola Moto G (4)","ground","-82","24:c9:a1:09:9a:c8","IIITV-Staff","9016","14:03:33"
"block-9","Monday","Motorola Moto G (4)","ground","-73","24:c9:a1:07:29:58","IIITV-Staff","9016","14:03:48"
"block-9","Monday","Motorola Moto G (4)","ground","-73","24:c9:a1:47:29:58","IIITV2","9016","14:03:48"
"block-9","Monday","Motorola Moto G (4)","ground","-43","24:c9:a1:49:a7:28","IIITV2","9016","14:03:48"
"block-9","Monday","Motorola Moto G (4)","ground","-44","24:c9:a1:09:a7:28","IIITV-Staff","9016","14:03:48"
"block-9","Monday","Motorola Moto G (4)","ground","-87","58:b6:33:26:56:c8","IIITV1","9016","14:03:33"
"block-9","Monday","Motorola Moto G (4)","ground","-88","58:b6:33:66:56:c8","IIITV-Staff","9016","14:03:33"
"block-9","Monday","Motorola Moto G (4)","ground","-63","f0:3e:90:4c:24:78","IIITV-Staff","9016","14:03:48"
"block-9","Monday","Motorola Moto G (4)","ground","-66","f0:3e:90:8c:24:78","IIITV2","9016","14:03:48"
"block-9","Monday","Motorola Moto G (4)","ground","-65","f0:3e:90:0c:24:78","IIITV1","9016","14:03:48"
"block-9","Monday","Motorola Moto G (4)","ground","-68","24:c9:a1:49:9f:08","IIITV2","9016","14:03:48"
"block-9","Monday","Motorola Moto G (4)","ground","-68","24:c9:a1:09:9f:08","IIITV-Staff","9016","14:03:48"
"block-9","Monday","","first","-72","24:c9:a1:09:9a:c8","IIITV-Staff","9115","14:03:51"
"block-9","Monday","","first","-72","24:c9:a1:49:9a:c8","IIITV2","9115","14:03:51"
"block-9","Monday","","first","-55","2c:c5:d3:23:c2:38","IIITV1","9115","14:03:51"
"block-9","Monday","","first","-50","2c:c5:d3:63:c2:38","IIITV-Staff","9115","14:03:51"
"block-9","Monday","","first","-81","24:c9:a1:49:a1:58","IIITV2","9115","14:03:37"
"block-9","Monday","","first","-81","24:c9:a1:09:a1:58","IIITV-Staff","9115","14:03:37"
"block-9","Monday","","first","-73","6c:aa:b3:08:ad:b8","IIITV-Staff","9115","14:03:37"
"block-9","Monday","","first","-73","6c:aa:b3:48:ad:b8","IIITV2","9115","14:03:37"
"block-9","Monday","","first","-51","24:c9:a1:09:9f:08","IIITV-Staff","9115","14:03:51"
"block-9","Monday","","first","-51","24:c9:a1:49:9f:08","IIITV2","9115","14:03:51"
"block-9","Monday","","first","-35","58:b6:33:66:51:48","IIITV-Staff","9115","14:03:51"
"block-9","Monday","","first","-35","58:b6:33:26:51:48","IIITV1","9115","14:03:51"
"block-9","Monday","","first","-78","f0:3e:90:0c:24:78","IIITV1","9115","14:03:51"
"block-9","Monday","","first","-78","f0:3e:90:4c:24:78","IIITV-Staff","9115","14:03:51"
"block-9","Monday","","first","-80","58:b6:33:26:56:c8","IIITV1","9115","14:03:51"
"block-9","Monday","","first","-81","58:b6:33:66:56:c8","IIITV-Staff","9115","14:03:51"
"block-9","Monday","","first","-77","f0:3e:90:8c:24:78","IIITV2","9115","14:03:51"
"block-9","Monday","","first","-77","24:c9:a1:49:a7:28","IIITV2","9115","14:03:51"
"block-9","Monday","","first","-78","24:c9:a1:09:a7:28","IIITV-Staff","9115","14:03:51"
"block-9","Monday","","first","-68","24:c9:a1:09:9a:c8","IIITV-Staff","9116","14:04:01"
"block-9","Monday","","first","-69","24:c9:a1:49:9a:c8","IIITV2","9116","14:04:01"
"block-9","Monday","","first","-50","2c:c5:d3:23:c2:38","IIITV1","9116","14:04:01"
"block-9","Monday","","first","-46","2c:c5:d3:63:c2:38","IIITV-Staff","9116","14:04:01"
"block-9","Monday","","first","-66","24:c9:a1:09:9f:08","IIITV-Staff","9116","14:04:01"
"block-9","Monday","","first","-66","24:c9:a1:49:9f:08","IIITV2","9116","14:04:01"
"block-9","Monday","","first","-29","58:b6:33:66:51:48","IIITV-Staff","9116","14:04:01"
"block-9","Monday","","first","-29","58:b6:33:26:51:48","IIITV1","9116","14:04:01"
"block-9","Monday","","first","-78","f0:3e:90:0c:24:78","IIITV1","9116","14:04:01"
"block-9","Monday","","first","-78","f0:3e:90:4c:24:78","IIITV-Staff","9116","14:04:01"
"block-9","Monday","","first","-80","58:b6:33:26:56:c8","IIITV1","9116","14:04:01"
"block-9","Monday","","first","-81","58:b6:33:66:56:c8","IIITV-Staff","9116","14:04:01"
"block-9","Monday","","first","-77","f0:3e:90:8c:24:78","IIITV2","9116","14:04:01"
"block-9","Monday","","first","-82","24:c9:a1:49:a7:28","IIITV2","9116","14:04:01"
"block-9","Monday","","first","-82","24:c9:a1:09:a7:28","IIITV-Staff","9116","14:04:01"
"block-9","Monday","Motorola Moto G (5S)","ground","-79","58:b6:33:66:53:28","IIITV-Staff","9001","14:03:50"
"block-9","Monday","Motorola Moto G (5S)","ground","-83","58:b6:33:26:53:28","IIITV1","9001","14:03:50"
"block-9","Monday","Motorola Moto G (5S)","ground","-74","2c:c5:d3:23:c2:38","IIITV1","9001","14:04:04"
"block-9","Monday","Motorola Moto G (5S)","ground","-75","2c:c5:d3:63:c2:38","IIITV-Staff","9001","14:04:04"
"block-9","Monday","Motorola Moto G (5S)","ground","-75","24:c9:a1:49:a7:28","IIITV2","9001","14:04:04"
"block-9","Monday","Motorola Moto G (5S)","ground","-75","24:c9:a1:09:a7:28","IIITV-Staff","9001","14:04:04"
"block-9","Monday","Motorola Moto G (5S)","ground","-75","24:c9:a1:09:9f:08","IIITV-Staff","9001","14:04:04"
"block-9","Monday","Motorola Moto G (5S)","ground","-89","2c:c5:d3:23:c2:3c","IIITV1","9001","14:04:04"
"block-9","Monday","Motorola Moto G (5S)","ground","-78","24:c9:a1:49:9f:08","IIITV2","9001","14:04:04"
"block-9","Monday","Motorola Moto G (5S)","ground","-90","2c:c5:d3:63:c2:3c","IIITV-Staff","9001","14:04:04"
"block-9","Monday","Motorola Moto G (5S)","ground","-69","58:b6:33:26:51:48","IIITV1","9001","14:03:50"
"block-9","Monday","Motorola Moto G (5S)","ground","-69","58:b6:33:66:51:48","IIITV-Staff","9001","14:03:50"
"block-9","Monday","Motorola Moto G (5S)","ground","-66","f0:3e:90:0c:24:78","IIITV1","9001","14:04:04"
"block-9","Monday","Motorola Moto G (5S)","ground","-79","24:c9:a1:49:9a:c8","IIITV2","9001","14:04:04"
"block-9","Monday","Motorola Moto G (5S)","ground","-85","58:b6:33:26:56:c8","IIITV1","9001","14:04:04"
"block-9","Monday","Motorola Moto G (5S)","ground","-87","58:b6:33:66:56:c8","IIITV-Staff","9001","14:04:04"
"block-9","Monday","Motorola Moto G (5S)","ground","-79","24:c9:a1:47:29:58","IIITV2","9001","14:03:50"
"block-9","Monday","Motorola Moto G (5S)","ground","-67","f0:3e:90:8c:24:78","IIITV2","9001","14:04:04"
"block-9","Monday","Motorola Moto G (5S)","ground","-67","f0:3e:90:4c:24:78","IIITV-Staff","9001","14:04:04"
"block-9","Monday","Motorola Moto G (5S)","ground","-79","24:c9:a1:09:9a:c8","IIITV-Staff","9001","14:04:04"
"block-9","Monday","Motorola Moto G (5S)","ground","-88","24:c9:a1:47:2f:38","IIITV2","9001","14:04:04"
"block-9","Monday","Motorola Moto G (5S)","ground","-89","24:c9:a1:07:2f:38","IIITV-Staff","9001","14:04:04"
"block-9","Monday","Motorola Moto G (5S)","ground","-82","2c:c5:d3:23:c2:38","IIITV1","9002","14:04:34"
"block-9","Monday","Motorola Moto G (5S)","ground","-85","2c:c5:d3:63:c2:38","IIITV-Staff","9002","14:04:34"
