"building","day","device","floor","level","mac","name","room","time"
"block-9","Thursday","Motorola Moto G (4)","ground","-87","24:c9:a1:49:9a:c8","IIITV2","9013","12:11:28"
"block-9","Thursday","Motorola Moto G (4)","ground","-89","24:c9:a1:07:2f:38","IIITV-Staff","9013","12:11:28"
"block-9","Thursday","Motorola Moto G (4)","ground","-92","58:b6:33:66:56:c8","IIITV-Staff","9013","12:11:28"
"block-9","Thursday","Motorola Moto G (4)","ground","-92","58:b6:33:26:56:c8","IIITV1","9013","12:11:28"
"block-9","Thursday","Motorola Moto G (4)","ground","-93","24:c9:a1:47:2f:38","IIITV2","9013","12:11:28"
"block-9","Thursday","Motorola Moto G (4)","ground","-44","2c:c5:d3:23:c2:38","IIITV1","9014","12:11:58"
"block-9","Thursday","Motorola Moto G (4)","ground","-73","24:c9:a1:49:a7:28","IIITV2","9014","12:11:58"
"block-9","Thursday","Motorola Moto G (4)","ground","-86","24:c9:a1:09:a7:28","IIITV-Staff","9014","12:11:41"
"block-9","Thursday","Motorola Moto G (4)","ground","-45","2c:c5:d3:63:c2:38","IIITV-Staff","9014","12:11:58"
"block-9","Thursday","Motorola Moto G (4)","ground","-54","58:b6:33:26:51:48","IIITV1","9014","12:11:58"
"block-9","Thursday","Motorola Moto G (4)","ground","-58","2c:c5:d3:63:c2:3c","IIITV-Staff","9014","12:11:58"
"block-9","Thursday","Motorola Moto G (4)","ground","-58","2c:c5:d3:23:c2:3c","IIITV1","9014","12:11:58"
"block-9","Thursday","Motorola Moto G (4)","ground","-54","58:b6:33:66:51:48","IIITV-Staff","9014","12:11:58"
"block-9","Thursday","Motorola Moto G (4)","ground","-78","24:c9:a1:49:9f:08","IIITV2","9014","12:11:41"
"block-9","Thursday","Motorola Moto G (4)","ground","-74","24:c9:a1:09:9f:08","IIITV-Staff","9014","12:11:41"
"block-9","Thursday","Motorola Moto G (4)","ground","-43","2c:c5:d3:23:c2:38","IIITV1","9015","12:12:11"
"block-9","Thursday","Motorola Moto G (4)","ground","-62","24:c9:a1:49:a7:28","IIITV2","9015","12:12:11"
"block-9","Thursday","Motorola Moto G (4)","ground","-43","2c:c5:d3:63:c2:38","IIITV-Staff","9015","12:12:11"
"block-9","Thursday","Motorola Moto G (4)","ground","-73","58:b6:33:26:51:48","IIITV1","9015","12:12:11"
"block-9","Thursday","Motorola Moto G (4)","ground","-59","2c:c5:d3:63:c2:3c","IIITV-Staff","9015","12:12:11"
"block-9","Thursday","Motorola Moto G (4)","ground","-59","2c:c5:d3:23:c2:3c","IIITV1","9015","12:12:11"
"block-9","Thursday","Motorola Moto G (4)","ground","-72","58:b6:33:66:51:48","IIITV-Staff","9015","12:12:11"
"block-9","Thursday","Motorola Moto G (4)","ground","-77","24:c9:a1:49:9f:08","IIITV2","9015","12:12:11"
"block-9","Thursday","Motorola Moto G (4)","ground","-77","24:c9:a1:09:9f:08","IIITV-Staff","9015","12:12:11"
"block-9","Thursday","Motorola Moto G (4)","ground","-84","f0:3e:90:8c:24:78","IIITV2","9015","12:12:11"
"block-9","Thursday","Motorola Moto G (4)","ground","-84","f0:3e:90:4c:24:78","IIITV-Staff","9015","12:12:11"
"block-9","Thursday","Motorola Moto G (4)","ground","-85","f0:3e:90:0c:24:78","IIITV1","9015","12:12:11"
"block-9","Thursday","Motorola Moto G (4)","ground","-87","58:b6:33:66:53:28","IIITV-Staff","9015","12:12:11"
"block-9","Thursday","Motorola Moto G (4)","ground","-87","24:c9:a1:07:2f:38","IIITV-Staff","9015","12:12:11"
"block-9","Thursday","Motorola Moto G (4)","ground","-87","58:b6:33:26:53:28","IIITV1","9015","12:12:11"
"block-9","Thursday","Motorola Moto G (4)","ground","-44","2c:c5:d3:23:c2:38","IIITV1","9016","12:12:59"
"block-9","Thursday","Motorola Moto G (4)","ground","-55","24:c9:a1:49:a7:28","IIITV2","9016","12:12:59"
"block-9","Thursday","Motorola Moto G (4)","ground","-44","2c:c5:d3:63:c2:38","IIITV-Staff","9016","12:12:59"
"block-9","Thursday","Motorola Moto G (4)","ground","-83","58:b6:33:26:51:48","IIITV1","9016","12:12:59"
"block-9","Thursday","Motorola Moto G (4)","ground","-58","2c:c5:d3:63:c2:3c","IIITV-Staff","9016","12:12:59"
"block-9","Thursday","Motorola Moto G (4)","ground","-58","2c:c5:d3:23:c2:3c","IIITV1","9016","12:12:59"
"block-9","Thursday","Motorola Moto G (4)","ground","-84","58:b6:33:66:51:48","IIITV-Staff","9016","12:12:59"
"block-9","Thursday","Motorola Moto G (4)","ground","-73","24:c9:a1:49:9f:08","IIITV2","9016","12:12:59"
"block-9","Thursday","Motorola Moto G (4)","ground","-73","24:c9:a1:09:9f:08","IIITV-Staff","9016","12:12:59"
"block-9","Thursday","Motorola Moto G (4)","ground","-80","f0:3e:90:8c:24:78","IIITV2","9016","12:12:59"
"block-9","Thursday","Motorola Moto G (4)","ground","-80","f0:3e:90:4c:24:78","IIITV-Staff","9016","12:12:59"
"block-9","Thursday","Motorola Moto G (4)","ground","-81","f0:3e:90:0c:24:78","IIITV1","9016","12:12:59"
"block-9","Thursday","Motorola Moto G (4)","ground","-77","58:b6:33:66:53:28","IIITV-Staff","9016","12:12:59"
"block-9","Thursday","Motorola Moto G (4)","ground","-74","24:c9:a1:07:2f:38","IIITV-Staff","9016","12:12:59"
"block-9","Thursday","Motorola Moto G (4)","ground","-76","58:b6:33:26:53:28","IIITV1","9016","12:12:59"
"block-9","Thursday","Motorola Moto G (4)","ground","-60","24:c9:a1:09:a7:28","IIITV-Staff","9016","12:12:59"
"block-9","Thursday","Motorola Moto G (4)","ground","-72","24:c9:a1:47:2f:38","IIITV2","9016","12:12:59"
"block-9","Thursday","Motorola Moto G (4)","ground","-72","24:c9:a1:09:9a:c8","IIITV-Staff","9016","12:12:59"
"block-9","Thursday","Motorola Moto G (4)","ground","-75","24:c9:a1:49:a1:58","IIITV2","9016","12:12:59"
"block-9","Thursday","Motorola Moto G (4)","ground","-75","24:c9:a1:09:a1:58","IIITV-Staff","9016","12:12:59"
"block-9","Thursday","Motorola Moto G (4)","ground","-76","24:c9:a1:49:9a:c8","IIITV2","9016","12:12:59"
"block-9","Thursday","Motorola Moto G (4)","ground","-78","24:c9:a1:47:29:58","IIITV2","9016","12:12:59"
"block-9","Thursday","Motorola Moto G (4)","ground","-80","24:c9:a1:07:29:58","IIITV-Staff","9016","12:12:59"
"block-9","Thursday","Motorola Moto G (4)","ground","-84","58:b6:33:66:56:c8","IIITV-Staff","9016","12:12:59"
"block-9","Thursday","Motorola Moto G (4)","ground","-84","58:b6:33:26:56:c8","IIITV1","9016","12:12:59"
"block-9","Thursday","Motorola Moto G (4)","ground","-84","6c:aa:b3:48:ad:b8","IIITV2","9016","12:12:59"
"block-9","Thursday","Motorola Moto G (4)","ground","-85","6c:aa:b3:08:ad:b8","IIITV-Staff","9016","12:12:59"
"block-9","Thursday","Motorola Moto G (4)","ground","-76","2c:c5:d3:23:c2:38","IIITV1","9001","12:13:40"
"block-9","Thursday","Motorola Moto G (4)","ground","-74","24:c9:a1:49:a7:28","IIITV2","9001","12:13:40"
"block-9","Thursday","Motorola Moto G (4)","ground","-77","2c:c5:d3:63:c2:38","IIITV-Staff","9001","12:13:40"
"block-9","Thursday","Motorola Moto G (4)","ground","-83","58:b6:33:26:51:48","IIITV1","9001","12:13:33"
"block-9","Thursday","Motorola Moto G (4)","ground","-88","2c:c5:d3:63:c2:3c","IIITV-Staff","9001","12:13:40"
"block-9","Thursday","Motorola Moto G (4)","ground","-88","2c:c5:d3:23:c2:3c","IIITV1","9001","12:13:40"
"block-9","Thursday","Motorola Moto G (4)","ground","-84","58:b6:33:66:51:48","IIITV-Staff","9001","12:13:33"
"block-9","Thursday","Motorola Moto G (4)","ground","-81","24:c9:a1:49:9f:08","IIITV2","9001","12:13:40"
"block-9","Thursday","Motorola Moto G (4)","ground","-81","24:c9:a1:09:9f:08","IIITV-Staff","9001","12:13:40"
"block-9","Thursday","Motorola Moto G (4)","ground","-67","f0:3e:90:8c:24:78","IIITV2","9001","12:13:40"
"block-9","Thursday","Motorola Moto G (4)","ground","-66","f0:3e:90:4c:24:78","IIITV-Staff","9001","12:13:40"
"block-9","Thursday","Motorola Moto G (4)","ground","-67","f0:3e:90:0c:24:78","IIITV1","9001","12:13:40"
"block-9","Thursday","Motorola Moto G (4)","ground","-84","58:b6:33:66:53:28","IIITV-Staff","9001","12:13:40"
"block-9","Thursday","Motorola Moto G (4)","ground","-84","24:c9:a1:07:2f:38","IIITV-Staff","9001","12:13:40"
"block-9","Thursday","Motorola Moto G (4)","ground","-83","58:b6:33:26:53:28","IIITV1","9001","12:13:40"
"block-9","Thursday","Motorola Moto G (4)","ground","-73","24:c9:a1:09:a7:28","IIITV-Staff","9001","12:13:40"
"block-9","Thursday","Motorola Moto G (4)","ground","-83","24:c9:a1:47:2f:38","IIITV2","9001","12:13:40"
"block-9","Thursday","Motorola Moto G (4)","ground","-76","24:c9:a1:09:9a:c8","IIITV-Staff","9001","12:13:40"
"block-9","Thursday","Motorola Moto G (4)","ground","-75","24:c9:a1:49:9a:c8","IIITV2","9001","12:13:40"
"block-9","Thursday","Motorola Moto G (4)","ground","-82","24:c9:a1:47:29:58","IIITV2","9001","12:13:40"
"block-9","Thursday","Motorola Moto G (4)","ground","-82","24:c9:a1:07:29:58","IIITV-Staff","9001","12:13:40"
"block-9","Thursday","Motorola Moto G (4)","ground","-75","58:b6:33:66:56:c8","IIITV-Staff","9001","12:13:40"
"block-9","Thursday","Motorola Moto G (4)","ground","-74","58:b6:33:26:56:c8","IIITV1","9001","12:13:40"
"block-9","Thursday","Motorola Moto G (4)","ground","-90","6c:aa:b3:08:ad:b8","IIITV-Staff","9001","12:13:40"
