"building","day","floor","level","mac","name","room","time"
"block-9","Friday","first","-61","f0:3e:90:4c:29:d8","IIITV-Staff","9111","12:13:14"
"block-9","Friday","first","-62","f0:3e:90:8c:29:d8","IIITV2","9111","12:13:14"
"block-9","Friday","first","-77","24:c9:a1:09:9a:c8","IIITV-Staff","9111","12:13:42"
"block-9","Friday","first","-75","24:c9:a1:49:9a:c8","IIITV2","9111","12:13:42"
"block-9","Friday","first","-77","f0:3e:90:4c:24:78","IIITV-Staff","9111","12:13:14"
"block-9","Friday","first","-76","f0:3e:90:0c:24:78","IIITV1","9111","12:13:14"
"block-9","Friday","first","-76","f0:3e:90:8c:24:78","IIITV2","9111","12:13:14"
"block-9","Friday","first","-69","24:c9:a1:49:9f:08","IIITV2","9111","12:13:42"
"block-9","Friday","first","-72","24:c9:a1:09:9f:08","IIITV-Staff","9111","12:13:14"
"block-9","Friday","first","-42","58:b6:33:66:51:48","IIITV-Staff","9111","12:13:42"
"block-9","Friday","first","-42","58:b6:33:26:51:48","IIITV1","9111","12:13:42"
"block-9","Friday","first","-63","6c:aa:b3:08:ad:b8","IIITV-Staff","9111","12:13:14"
"block-9","Friday","first","-65","6c:aa:b3:48:ad:b8","IIITV2","9111","12:13:14"
"block-9","Friday","first","-66","24:c9:a1:09:a1:58","IIITV-Staff","9111","12:13:14"
"block-9","Friday","first","-66","24:c9:a1:49:a1:58","IIITV2","9111","12:13:14"
"block-9","Friday","first","-72","24:c9:a1:07:2f:38","IIITV-Staff","9111","12:13:14"
"block-9","Friday","first","-72","24:c9:a1:47:2f:38","IIITV2","9111","12:13:14"
"block-9","Friday","first","-50","2c:c5:d3:63:c2:38","IIITV-Staff","9111","12:13:42"
"block-9","Friday","first","-50","2c:c5:d3:23:c2:38","IIITV1","9111","12:13:42"
"block-9","Friday","first","-77","24:c9:a1:09:9a:c8","IIITV-Staff","9113","12:13:52"
"block-9","Friday","first","-75","24:c9:a1:49:9a:c8","IIITV2","9113","12:13:52"
"block-9","Friday","first","-73","24:c9:a1:49:9f:08","IIITV2","9113","12:13:52"
"block-9","Friday","first","-72","24:c9:a1:09:9f:08","IIITV-Staff","9113","12:13:52"
"block-9","Friday","first","-39","58:b6:33:66:51:48","IIITV-Staff","9113","12:13:52"
"block-9","Friday","first","-39","58:b6:33:26:51:48","IIITV1","9113","12:13:52"
"block-9","Friday","first","-54","2c:c5:d3:63:c2:38","IIITV-Staff","9113","12:13:52"
"block-9","Friday","first","-54","2c:c5:d3:23:c2:38","IIITV1","9113","12:13:52"
"block-9","Friday","first","-81","58:b6:33:66:56:c8","IIITV-Staff","9113","12:13:52"
"block-9","Friday","first","-82","58:b6:33:26:56:c8","IIITV1","9113","12:13:52"
"block-9","Friday","first","-77","24:c9:a1:09:9a:c8","IIITV-Staff","9114","12:14:02"
"block-9","Friday","first","-75","24:c9:a1:49:9a:c8","IIITV2","9114","12:14:02"
"block-9","Friday","first","-61","24:c9:a1:49:9f:08","IIITV2","9114","12:14:02"
"block-9","Friday","first","-61","24:c9:a1:09:9f:08","IIITV-Staff","9114","12:14:02"
"block-9","Friday","first","-39","58:b6:33:66:51:48","IIITV-Staff","9114","12:14:02"
"block-9","Friday","first","-39","58:b6:33:26:51:48","IIITV1","9114","12:14:02"
"block-9","Friday","first","-53","2c:c5:d3:63:c2:38","IIITV-Staff","9114","12:14:02"
"block-9","Friday","first","-53","2c:c5:d3:23:c2:38","IIITV1","9114","12:14:02"
"block-9","Friday","first","-81","58:b6:33:66:56:c8","IIITV-Staff","9114","12:14:02"
"block-9","Friday","first","-82","58:b6:33:26:56:c8","IIITV1","9114","12:14:02"
"block-9","Friday","first","-80","24:c9:a1:09:a7:28","IIITV-Staff","9114","12:14:02"
"block-9","Friday","first","-81","24:c9:a1:49:a7:28","IIITV2","9114","12:14:02"
"block-9","Friday","first","-77","24:c9:a1:09:9a:c8","IIITV-Staff","9115","12:14:12"
"block-9","Friday","first","-75","24:c9:a1:49:9a:c8","IIITV2","9115","12:14:12"
"block-9","Friday","first","-61","24:c9:a1:49:9f:08","IIITV2","9115","12:14:12"
"block-9","Friday","first","-58","24:c9:a1:09:9f:08","IIITV-Staff","9115","12:14:12"
"block-9","Friday","first","-36","58:b6:33:66:51:48","IIITV-Staff","9115","12:14:12"
"block-9","Friday","first","-36","58:b6:33:26:51:48","IIITV1","9115","12:14:12"
"block-9","Friday","first","-56","2c:c5:d3:63:c2:38","IIITV-Staff","9115","12:14:12"
"block-9","Friday","first","-56","2c:c5:d3:23:c2:38","IIITV1","9115","12:14:12"
"block-9","Friday","first","-81","58:b6:33:66:56:c8","IIITV-Staff","9115","12:14:12"
"block-9","Friday","first","-82","58:b6:33:26:56:c8","IIITV1","9115","12:14:12"
"block-9","Friday","first","-80","24:c9:a1:09:a7:28","IIITV-Staff","9115","12:14:12"
"block-9","Friday","first","-81","24:c9:a1:49:a7:28","IIITV2","9115","12:14:12"
"block-9","Friday","first","-84","f0:3e:90:4c:29:d8","IIITV-Staff","9115","12:14:12"
"block-9","Friday","first","-78","24:c9:a1:09:9a:c8","IIITV-Staff","9116","12:14:18"
"block-9","Friday","first","-75","24:c9:a1:49:9a:c8","IIITV2","9116","12:14:18"
"block-9","Friday","first","-60","24:c9:a1:49:9f:08","IIITV2","9116","12:14:18"
"block-9","Friday","first","-57","24:c9:a1:09:9f:08","IIITV-Staff","9116","12:14:18"
"block-9","Friday","first","-31","58:b6:33:66:51:48","IIITV-Staff","9116","12:14:18"
"block-9","Friday","first","-31","58:b6:33:26:51:48","IIITV1","9116","12:14:18"
"block-9","Friday","first","-55","2c:c5:d3:63:c2:38","IIITV-Staff","9116","12:14:18"
"block-9","Friday","first","-54","2c:c5:d3:23:c2:38","IIITV1","9116","12:14:18"
"block-9","Friday","first","-81","58:b6:33:66:56:c8","IIITV-Staff","9116","12:14:18"
"block-9","Friday","first","-82","58:b6:33:26:56:c8","IIITV1","9116","12:14:18"
"block-9","Friday","first","-73","24:c9:a1:09:a7:28","IIITV-Staff","9116","12:14:18"
"block-9","Friday","first","-73","24:c9:a1:49:a7:28","IIITV2","9116","12:14:18"
"block-9","Friday","first","-84","f0:3e:90:4c:29:d8","IIITV-Staff","9116","12:14:18"
"block-9","Friday","first","-81","24:c9:a1:49:a1:58","IIITV2","9116","12:14:18"
"block-9","Friday","first","-79","f0:3e:90:4c:29:d8","IIITV-Staff","9101","13:14:50"
"block-9","Friday","first","-77","f0:3e:90:0c:29:d8","IIITV1","9101","13:14:50"
"block-9","Friday","first","-77","f0:3e:90:8c:29:d8","IIITV2","9101","13:14:50"
"block-9","Friday","first","-79","24:c9:a1:09:a1:58","IIITV-Staff","9101","13:14:50"
"block-9","Friday","first","-78","24:c9:a1:49:a1:58","IIITV2","9101","13:14:50"
"block-9","Friday","first","-74","2c:c5:d3:63:c2:38","IIITV-Staff","9101","13:14:50"
"block-9","Friday","first","-74","2c:c5:d3:23:c2:38","IIITV1","9101","13:14:50"
"block-9","Friday","first","-71","6c:aa:b3:08:ad:b8","IIITV-Staff","9101","13:14:50"
"block-9","Friday","first","-72","6c:aa:b3:48:ad:b8","IIITV2","9101","13:14:50"
"block-9","Friday","first","-74","24:c9:a1:49:a7:28","IIITV2","9101","13:14:50"
"block-9","Friday","first","-59","24:c9:a1:49:9f:08","IIITV2","9101","13:14:50"
"block-9","Friday","first","-58","24:c9:a1:09:9f:08","IIITV-Staff","9101","13:14:50"
"block-9","Friday","first","-59","f0:3e:90:0c:24:78","IIITV1","9101","13:14:50"
"block-9","Friday","first","-60","f0:3e:90:8c:24:78","IIITV2","9101","13:14:50"
"block-9","Friday","first","-60","f0:3e:90:4c:24:78","IIITV-Staff","9101","13:14:50"
"block-9","Friday","first","-67","24:c9:a1:49:9a:c8","IIITV2","9101","13:14:50"
"block-9","Friday","first","-70","58:b6:33:26:51:48","IIITV1","9101","13:14:50"
"block-9","Friday","first","-67","58:b6:33:66:56:c8","IIITV-Staff","9101","13:14:50"
"block-9","Friday","first","-75","58:b6:33:66:51:48","IIITV-Staff","9101","13:14:50"
"block-9","Friday","first","-68","58:b6:33:26:56:c8","IIITV1","9101","13:14:50"
"block-9","Friday","first","-76","24:c9:a1:47:29:58","IIITV2","9101","13:14:50"
"block-9","Friday","first","-79","f0:3e:90:4c:29:d8","IIITV-Staff","9102","13:14:50"
"block-9","Friday","first","-77","f0:3e:90:0c:29:d8","IIITV1","9102","13:14:50"
"block-9","Friday","first","-66","f0:3e:90:8c:29:d8","IIITV2","9102","13:15:17"
"block-9","Friday","first","-70","24:c9:a1:09:a1:58","IIITV-Staff","9102","13:15:17"
"block-9","Friday","first","-73","24:c9:a1:49:a1:58","IIITV2","9102","13:15:17"
"block-9","Friday","first","-74","2c:c5:d3:63:c2:38","IIITV-Staff","9102","13:14:50"
"block-9","Friday","first","-74","2c:c5:d3:23:c2:38","IIITV1","9102","13:14:50"
"block-9","Friday","first","-71","6c:aa:b3:08:ad:b8","IIITV-Staff","9102","13:14:50"
"block-9","Friday","first","-72","6c:aa:b3:48:ad:b8","IIITV2","9102","13:14:50"
"block-9","Friday","first","-74","24:c9:a1:49:a7:28","IIITV2","9102","13:14:50"
"block-9","Friday","first","-72","24:c9:a1:49:9f:08","IIITV2","9102","13:15:17"
"block-9","Friday","first","-73","24:c9:a1:09:9f:08","IIITV-Staff","9102","13:15:17"
"block-9","Friday","first","-77","f0:3e:90:0c:24:78","IIITV1","9102","13:15:17"
"block-9","Friday","first","-66","f0:3e:90:8c:24:78","IIITV2","9102","13:15:17"
"block-9","Friday","first","-77","f0:3e:90:4c:24:78","IIITV-Staff","9102","13:15:17"
"block-9","Friday","first","-52","24:c9:a1:49:9a:c8","IIITV2","9102","13:15:17"
"block-9","Friday","first","-70","58:b6:33:26:51:48","IIITV1","9102","13:14:50"
"block-9","Friday","first","-48","58:b6:33:66:56:c8","IIITV-Staff","9102","13:15:17"
"block-9","Friday","first","-75","58:b6:33:66:51:48","IIITV-Staff","9102","13:14:50"
"block-9","Friday","first","-48","58:b6:33:26:56:c8","IIITV1","9102","13:15:17"
"block-9","Friday","first","-49","24:c9:a1:47:29:58","IIITV2","9102","13:15:17"
"block-9","Friday","first","-42","24:c9:a1:07:29:58","IIITV-Staff","9102","13:15:17"
"block-9","Friday","first","-81","24:c9:a1:47:2f:38","IIITV2","9102","13:15:17"
