"building","day","device","floor","level","mac","name","room","time"
"block-9","Monday","","first","-68","6c:aa:b3:08:ad:b8","IIITV-Staff","9110","16:07:52"
"block-9","Monday","","first","-67","6c:aa:b3:48:ad:b8","IIITV2","9110","16:07:52"
"block-9","Monday","","first","-67","f0:3e:90:4c:24:78","IIITV-Staff","9110","16:07:41"
"block-9","Monday","","first","-73","24:c9:a1:09:9f:08","IIITV-Staff","9110","16:07:52"
"block-9","Monday","","first","-73","24:c9:a1:49:9f:08","IIITV2","9110","16:07:52"
"block-9","Monday","","first","-77","58:b6:33:66:51:48","IIITV-Staff","9110","16:07:52"
"block-9","Monday","","first","-77","2c:c5:d3:63:c2:38","IIITV-Staff","9110","16:07:52"
"block-9","Monday","","first","-81","24:c9:a1:47:2f:38","IIITV2","9110","16:07:52"
"block-9","Monday","","first","-81","24:c9:a1:07:2f:38","IIITV-Staff","9110","16:07:52"
"block-9","Monday","Motorola Moto G (4)","ground","-52","2c:c5:d3:63:c2:38","IIITV-Staff","9011","16:08:02"
"block-9","Monday","Motorola Moto G (4)","ground","-52","2c:c5:d3:23:c2:38","IIITV1","9011","16:08:02"
"block-9","Monday","Motorola Moto G (4)","ground","-80","24:c9:a1:49:a7:28","IIITV2","9011","16:08:02"
"block-9","Monday","Motorola Moto G (4)","ground","-84","24:c9:a1:09:a7:28","IIITV-Staff","9011","16:08:02"
"block-9","Monday","Motorola Moto G (4)","ground","-64","2c:c5:d3:63:c2:3c","IIITV-Staff","9011","16:08:02"
"block-9","Monday","Motorola Moto G (4)","ground","-64","2c:c5:d3:23:c2:3c","IIITV1","9011","16:08:02"
"block-9","Monday","Motorola Moto G (4)","ground","-86","24:c9:a1:49:9f:08","IIITV2","9011","16:08:02"
"block-9","Monday","Motorola Moto G (4)","ground","-88","24:c9:a1:09:9f:08","IIITV-Staff","9011","16:08:02"
"block-9","Monday","Motorola Moto G (4)","ground","-69","58:b6:33:26:51:48","IIITV1","9011","16:08:02"
"block-9","Monday","Motorola Moto G (4)","ground","-69","58:b6:33:66:51:48","IIITV-Staff","9011","16:08:02"
"block-9","Monday","Motorola Moto G (4)","ground","-87","58:b6:33:26:53:28","IIITV1","9011","16:08:02"
"block-9","Monday","Motorola Moto G (4)","ground","-87","58:b6:33:66:53:28","IIITV-Staff","9011","16:08:02"
"block-9","Monday","Motorola Moto G (4)","ground","-60","2c:c5:d3:63:c2:38","IIITV-Staff","9008","16:08:36"
"block-9","Monday","Motorola Moto G (4)","ground","-60","2c:c5:d3:23:c2:38","IIITV1","9008","16:08:36"
"block-9","Monday","Motorola Moto G (4)","ground","-74","24:c9:a1:49:a7:28","IIITV2","9008","16:08:36"
"block-9","Monday","Motorola Moto G (4)","ground","-87","24:c9:a1:09:a7:28","IIITV-Staff","9008","16:08:36"
"block-9","Monday","Motorola Moto G (4)","ground","-80","2c:c5:d3:63:c2:3c","IIITV-Staff","9008","16:08:36"
"block-9","Monday","Motorola Moto G (4)","ground","-79","2c:c5:d3:23:c2:3c","IIITV1","9008","16:08:36"
"block-9","Monday","Motorola Moto G (4)","ground","-66","24:c9:a1:49:9f:08","IIITV2","9008","16:08:36"
"block-9","Monday","Motorola Moto G (4)","ground","-66","24:c9:a1:09:9f:08","IIITV-Staff","9008","16:08:36"
"block-9","Monday","Motorola Moto G (4)","ground","-62","58:b6:33:26:51:48","IIITV1","9008","16:08:36"
"block-9","Monday","Motorola Moto G (4)","ground","-62","58:b6:33:66:51:48","IIITV-Staff","9008","16:08:36"
"block-9","Monday","Motorola Moto G (4)","ground","-79","58:b6:33:26:53:28","IIITV1","9008","16:08:36"
"block-9","Monday","Motorola Moto G (4)","ground","-78","58:b6:33:66:53:28","IIITV-Staff","9008","16:08:36"
"block-9","Monday","Motorola Moto G (4)","ground","-75","24:c9:a1:47:2f:38","IIITV2","9008","16:08:36"
"block-9","Monday","Motorola Moto G (4)","ground","-75","24:c9:a1:07:2f:38","IIITV-Staff","9008","16:08:36"
"block-9","Monday","Motorola Moto G (4)","ground","-78","24:c9:a1:49:9a:c8","IIITV2","9008","16:08:36"
"block-9","Monday","Motorola Moto G (4)","ground","-78","24:c9:a1:09:9a:c8","IIITV-Staff","9008","16:08:36"
"block-9","Monday","Motorola Moto G (4)","ground","-86","24:c9:a1:49:a1:58","IIITV2","9008","16:08:36"
"block-9","Monday","Motorola Moto G (4)","ground","-87","24:c9:a1:09:a1:58","IIITV-Staff","9008","16:08:36"
"block-9","Monday","Motorola Moto G (4)","ground","-90","58:b6:33:26:53:2c","IIITV1","9008","16:08:36"
"block-9","Monday","Motorola Moto G (4)","ground","-83","6c:aa:b3:08:ad:b8","IIITV-Staff","9008","16:08:36"
"block-9","Monday","Motorola Moto G (4)","ground","-83","6c:aa:b3:48:ad:b8","IIITV2","9008","16:08:36"
"block-9","Monday","Motorola Moto G (4)","ground","-92","58:b6:33:66:53:2c","IIITV-Staff","9008","16:08:36"
"block-9","Monday","Motorola Moto G (4)","ground","-80","2c:c5:d3:63:c2:38","IIITV-Staff","9009","16:08:46"
"block-9","Monday","Motorola Moto G (4)","ground","-80","2c:c5:d3:23:c2:38","IIITV1","9009","16:08:46"
"block-9","Monday","Motorola Moto G (4)","ground","-88","24:c9:a1:49:a7:28","IIITV2","9009","16:08:46"
"block-9","Monday","Motorola Moto G (4)","ground","-90","24:c9:a1:09:a7:28","IIITV-Staff","9009","16:08:46"
"block-9","Monday","Motorola Moto G (4)","ground","-80","2c:c5:d3:63:c2:3c","IIITV-Staff","9009","16:08:46"
"block-9","Monday","Motorola Moto G (4)","ground","-79","2c:c5:d3:23:c2:3c","IIITV1","9009","16:08:46"
"block-9","Monday","Motorola Moto G (4)","ground","-66","24:c9:a1:49:9f:08","IIITV2","9009","16:08:46"
"block-9","Monday","Motorola Moto G (4)","ground","-66","24:c9:a1:09:9f:08","IIITV-Staff","9009","16:08:46"
"block-9","Monday","Motorola Moto G (4)","ground","-83","58:b6:33:26:51:48","IIITV1","9009","16:08:46"
"block-9","Monday","Motorola Moto G (4)","ground","-83","58:b6:33:66:51:48","IIITV-Staff","9009","16:08:46"
"block-9","Monday","Motorola Moto G (4)","ground","-79","58:b6:33:26:53:28","IIITV1","9009","16:08:46"
"block-9","Monday","Motorola Moto G (4)","ground","-78","58:b6:33:66:53:28","IIITV-Staff","9009","16:08:46"
"block-9","Monday","Motorola Moto G (4)","ground","-75","24:c9:a1:47:2f:38","IIITV2","9009","16:08:46"
"block-9","Monday","Motorola Moto G (4)","ground","-75","24:c9:a1:07:2f:38","IIITV-Staff","9009","16:08:46"
