"building","day","device","floor","level","mac","name","room","time"
"block-9","Thursday","Motorola Moto G (4)","ground","-88","24:c9:a1:07:2f:38","IIITV-Staff","9013","15:10:17"
"block-9","Thursday","Motorola Moto G (4)","ground","-88","24:c9:a1:47:2f:38","IIITV2","9013","15:10:17"
"block-9","Thursday","Motorola Moto G (4)","ground","-78","24:c9:a1:07:29:58","IIITV-Staff","9013","15:10:17"
"block-9","Thursday","Motorola Moto G (4)","ground","-74","2c:c5:d3:23:c2:3c","IIITV1","9013","15:10:31"
"block-9","Thursday","Motorola Moto G (4)","ground","-74","2c:c5:d3:63:c2:3c","IIITV-Staff","9013","15:10:31"
"block-9","Thursday","Motorola Moto G (4)","ground","-82","24:c9:a1:49:a7:28","IIITV2","9013","15:10:31"
"block-9","Thursday","Motorola Moto G (4)","ground","-81","24:c9:a1:09:a7:28","IIITV-Staff","9013","15:10:31"
"block-9","Thursday","Motorola Moto G (4)","ground","-74","24:c9:a1:49:9f:08","IIITV2","9013","15:10:31"
"block-9","Thursday","Motorola Moto G (4)","ground","-80","24:c9:a1:09:9f:08","IIITV-Staff","9013","15:10:17"
"block-9","Thursday","Motorola Moto G (4)","ground","-84","f0:3e:90:8c:24:78","IIITV2","9013","15:10:17"
"block-9","Thursday","Motorola Moto G (4)","ground","-85","f0:3e:90:4c:24:78","IIITV-Staff","9013","15:10:17"
"block-9","Thursday","Motorola Moto G (4)","ground","-84","f0:3e:90:0c:24:78","IIITV1","9013","15:10:17"
"block-9","Thursday","Motorola Moto G (4)","ground","-84","58:b6:33:66:56:c8","IIITV-Staff","9013","15:10:17"
"block-9","Thursday","Motorola Moto G (4)","ground","-84","58:b6:33:26:56:c8","IIITV1","9013","15:10:17"
"block-9","Thursday","Motorola Moto G (4)","ground","-81","24:c9:a1:47:29:58","IIITV2","9013","15:10:17"
"block-9","Thursday","Motorola Moto G (4)","ground","-78","58:b6:33:26:51:48","IIITV1","9013","15:10:31"
"block-9","Thursday","Motorola Moto G (4)","ground","-78","58:b6:33:66:51:48","IIITV-Staff","9013","15:10:31"
"block-9","Thursday","Motorola Moto G (4)","ground","-44","2c:c5:d3:23:c2:38","IIITV1","9012","15:10:51"
"block-9","Thursday","Motorola Moto G (4)","ground","-44","2c:c5:d3:63:c2:38","IIITV-Staff","9012","15:10:51"
"block-9","Thursday","Motorola Moto G (4)","ground","-65","2c:c5:d3:23:c2:3c","IIITV1","9012","15:10:51"
"block-9","Thursday","Motorola Moto G (4)","ground","-65","2c:c5:d3:63:c2:3c","IIITV-Staff","9012","15:10:51"
"block-9","Thursday","Motorola Moto G (4)","ground","-82","24:c9:a1:49:a7:28","IIITV2","9012","15:10:51"
"block-9","Thursday","Motorola Moto G (4)","ground","-82","24:c9:a1:09:a7:28","IIITV-Staff","9012","15:10:51"
"block-9","Thursday","Motorola Moto G (4)","ground","-90","24:c9:a1:49:9f:08","IIITV2","9012","15:10:51"
"block-9","Thursday","Motorola Moto G (4)","ground","-71","58:b6:33:26:51:48","IIITV1","9012","15:10:51"
"block-9","Thursday","Motorola Moto G (4)","ground","-71","58:b6:33:66:51:48","IIITV-Staff","9012","15:10:51"
"block-9","Thursday","Motorola Moto G (4)","ground","-46","2c:c5:d3:23:c2:38","IIITV1","9011","15:11:18"
"block-9","Thursday","Motorola Moto G (4)","ground","-46","2c:c5:d3:63:c2:38","IIITV-Staff","9011","15:11:18"
"block-9","Thursday","Motorola Moto G (4)","ground","-66","2c:c5:d3:23:c2:3c","IIITV1","9011","15:11:18"
"block-9","Thursday","Motorola Moto G (4)","ground","-66","2c:c5:d3:63:c2:3c","IIITV-Staff","9011","15:11:18"
"block-9","Thursday","Motorola Moto G (4)","ground","-80","24:c9:a1:49:a7:28","IIITV2","9011","15:11:18"
"block-9","Thursday","Motorola Moto G (4)","ground","-82","24:c9:a1:09:a7:28","IIITV-Staff","9011","15:11:18"
"block-9","Thursday","Motorola Moto G (4)","ground","-90","24:c9:a1:49:9f:08","IIITV2","9011","15:10:51"
"block-9","Thursday","Motorola Moto G (4)","ground","-79","58:b6:33:26:51:48","IIITV1","9011","15:11:18"
"block-9","Thursday","Motorola Moto G (4)","ground","-80","58:b6:33:66:51:48","IIITV-Staff","9011","15:11:18"
"block-9","Thursday","Motorola Moto G (4)","ground","-86","24:c9:a1:09:9a:c8","IIITV-Staff","9011","15:11:18"
"block-9","Thursday","Motorola Moto G (4)","ground","-88","24:c9:a1:49:9a:c8","IIITV2","9011","15:11:18"
"block-9","Thursday","Motorola Moto G (4)","ground","-89","58:b6:33:26:53:28","IIITV1","9011","15:11:18"
"block-9","Thursday","Motorola Moto G (4)","ground","-89","58:b6:33:66:53:28","IIITV-Staff","9011","15:11:18"
"block-9","Thursday","Motorola Moto G (4)","ground","-91","24:c9:a1:07:2f:38","IIITV-Staff","9011","15:11:18"
"block-9","Thursday","Motorola Moto G (4)","ground","-92","24:c9:a1:47:2f:38","IIITV2","9011","15:11:18"
"block-9","Thursday","Motorola Moto G (4)","ground","-65","2c:c5:d3:23:c2:38","IIITV1","9008","15:12:03"
"block-9","Thursday","Motorola Moto G (4)","ground","-65","2c:c5:d3:63:c2:38","IIITV-Staff","9008","15:12:03"
"block-9","Thursday","Motorola Moto G (4)","ground","-87","2c:c5:d3:23:c2:3c","IIITV1","9008","15:12:03"
"block-9","Thursday","Motorola Moto G (4)","ground","-87","2c:c5:d3:63:c2:3c","IIITV-Staff","9008","15:12:03"
"block-9","Thursday","Motorola Moto G (4)","ground","-75","24:c9:a1:49:a7:28","IIITV2","9008","15:12:03"
"block-9","Thursday","Motorola Moto G (4)","ground","-83","24:c9:a1:09:a7:28","IIITV-Staff","9008","15:12:03"
"block-9","Thursday","Motorola Moto G (4)","ground","-79","58:b6:33:26:51:48","IIITV1","9008","15:12:03"
"block-9","Thursday","Motorola Moto G (4)","ground","-77","58:b6:33:66:51:48","IIITV-Staff","9008","15:12:03"
"block-9","Thursday","Motorola Moto G (4)","ground","-79","24:c9:a1:09:9a:c8","IIITV-Staff","9008","15:12:03"
"block-9","Thursday","Motorola Moto G (4)","ground","-81","24:c9:a1:49:9a:c8","IIITV2","9008","15:12:03"
"block-9","Thursday","Motorola Moto G (4)","ground","-77","58:b6:33:26:53:28","IIITV1","9008","15:12:03"
"block-9","Thursday","Motorola Moto G (4)","ground","-77","58:b6:33:66:53:28","IIITV-Staff","9008","15:12:03"
"block-9","Thursday","Motorola Moto G (4)","ground","-85","24:c9:a1:07:2f:38","IIITV-Staff","9008","15:12:03"
"block-9","Thursday","Motorola Moto G (4)","ground","-75","24:c9:a1:47:2f:38","IIITV2","9008","15:12:03"
"block-9","Thursday","Motorola Moto G (4)","ground","-83","58:b6:33:66:53:2c","IIITV-Staff","9008","15:12:03"
"block-9","Thursday","Motorola Moto G (4)","ground","-83","58:b6:33:26:53:2c","IIITV1","9008","15:12:03"
"block-9","Thursday","Motorola Moto G (4)","ground","-76","24:c9:a1:09:9f:08","IIITV-Staff","9008","15:12:03"
"block-9","Thursday","Motorola Moto G (4)","ground","-76","24:c9:a1:49:9f:08","IIITV2","9008","15:12:03"
"block-9","Thursday","Motorola Moto G (4)","ground","-78","6c:aa:b3:08:ad:b8","IIITV-Staff","9008","15:12:03"
"block-9","Thursday","Motorola Moto G (4)","ground","-79","24:c9:a1:49:a1:58","IIITV2","9008","15:12:03"
"block-9","Thursday","Motorola Moto G (4)","ground","-79","24:c9:a1:09:a1:58","IIITV-Staff","9008","15:12:03"
"block-9","Thursday","Motorola Moto G (4)","ground","-80","6c:aa:b3:48:ad:b8","IIITV2","9008","15:12:03"
"block-9","Thursday","Motorola Moto G (4)","ground","-85","24:c9:a1:07:29:58","IIITV-Staff","9008","15:12:03"
"block-9","Thursday","Motorola Moto G (4)","ground","-86","24:c9:a1:47:29:58","IIITV2","9008","15:12:03"
"block-9","Thursday","Motorola Moto G (4)","ground","-90","f0:3e:90:0c:29:d8","IIITV1","9008","15:12:03"
"block-9","Thursday","Motorola Moto G (4)","ground","-90","f0:3e:90:4c:29:d8","IIITV-Staff","9008","15:12:03"
"block-9","Thursday","Motorola Moto G (4)","ground","-91","f0:3e:90:8c:29:d8","IIITV2","9008","15:12:03"
"block-9","Thursday","Motorola Moto G (4)","ground","-65","2c:c5:d3:23:c2:38","IIITV1","9009","15:12:13"
"block-9","Thursday","Motorola Moto G (4)","ground","-65","2c:c5:d3:63:c2:38","IIITV-Staff","9009","15:12:13"
"block-9","Thursday","Motorola Moto G (4)","ground","-87","2c:c5:d3:23:c2:3c","IIITV1","9009","15:12:13"
"block-9","Thursday","Motorola Moto G (4)","ground","-87","2c:c5:d3:63:c2:3c","IIITV-Staff","9009","15:12:13"
"block-9","Thursday","Motorola Moto G (4)","ground","-87","24:c9:a1:49:a7:28","IIITV2","9009","15:12:13"
"block-9","Thursday","Motorola Moto G (4)","ground","-83","24:c9:a1:09:a7:28","IIITV-Staff","9009","15:12:13"
"block-9","Thursday","Motorola Moto G (4)","ground","-79","58:b6:33:26:51:48","IIITV1","9009","15:12:13"
"block-9","Thursday","Motorola Moto G (4)","ground","-77","58:b6:33:66:51:48","IIITV-Staff","9009","15:12:13"
"block-9","Thursday","Motorola Moto G (4)","ground","-79","24:c9:a1:09:9a:c8","IIITV-Staff","9009","15:12:13"
"block-9","Thursday","Motorola Moto G (4)","ground","-81","24:c9:a1:49:9a:c8","IIITV2","9009","15:12:13"
"block-9","Thursday","Motorola Moto G (4)","ground","-77","58:b6:33:26:53:28","IIITV1","9009","15:12:13"
"block-9","Thursday","Motorola Moto G (4)","ground","-77","58:b6:33:66:53:28","IIITV-Staff","9009","15:12:13"
"block-9","Thursday","Motorola Moto G (4)","ground","-85","24:c9:a1:07:2f:38","IIITV-Staff","9009","15:12:13"
"block-9","Thursday","Motorola Moto G (4)","ground","-75","24:c9:a1:47:2f:38","IIITV2","9009","15:12:13"
"block-9","Thursday","Motorola Moto G (4)","ground","-83","58:b6:33:66:53:2c","IIITV-Staff","9009","15:12:13"
"block-9","Thursday","Motorola Moto G (4)","ground","-83","58:b6:33:26:53:2c","IIITV1","9009","15:12:13"
"block-9","Thursday","Motorola Moto G (4)","ground","-76","24:c9:a1:09:9f:08","IIITV-Staff","9009","15:12:13"
"block-9","Thursday","Motorola Moto G (4)","ground","-76","24:c9:a1:49:9f:08","IIITV2","9009","15:12:13"
"block-9","Thursday","Motorola Moto G (4)","ground","-78","6c:aa:b3:08:ad:b8","IIITV-Staff","9009","15:12:13"
"block-9","Thursday","Motorola Moto G (4)","ground","-79","24:c9:a1:49:a1:58","IIITV2","9009","15:12:13"
"block-9","Thursday","Motorola Moto G (4)","ground","-79","24:c9:a1:09:a1:58","IIITV-Staff","9009","15:12:13"
"block-9","Thursday","Motorola Moto G (4)","ground","-80","6c:aa:b3:48:ad:b8","IIITV2","9009","15:12:13"
"block-9","Thursday","Motorola Moto G (4)","ground","-85","24:c9:a1:07:29:58","IIITV-Staff","9009","15:12:13"
"block-9","Thursday","Motorola Moto G (4)","ground","-86","24:c9:a1:47:29:58","IIITV2","9009","15:12:13"
"block-9","Thursday","Motorola Moto G (4)","ground","-90","f0:3e:90:0c:29:d8","IIITV1","9009","15:12:13"
"block-9","Thursday","Motorola Moto G (4)","ground","-90","f0:3e:90:4c:29:d8","IIITV-Staff","9009","15:12:13"
"block-9","Thursday","Motorola Moto G (4)","ground","-91","f0:3e:90:8c:29:d8","IIITV2","9009","15:12:13"
"block-9","Thursday","Motorola Moto G (4)","ground","-65","2c:c5:d3:23:c2:38","IIITV1","9010","15:14:56"
"block-9","Thursday","Motorola Moto G (4)","ground","-66","2c:c5:d3:63:c2:38","IIITV-Staff","9010","15:14:56"
"block-9","Thursday","Motorola Moto G (4)","ground","-92","24:c9:a1:09:a7:28","IIITV-Staff","9010","15:14:56"
"block-9","Thursday","Motorola Moto G (4)","ground","-90","24:c9:a1:49:a7:28","IIITV2","9010","15:14:56"
"block-9","Thursday","Motorola Moto G (4)","ground","-86","f0:3e:90:0c:29:d8","IIITV1","9010","15:14:56"
"block-9","Thursday","Motorola Moto G (4)","ground","-86","f0:3e:90:4c:29:d8","IIITV-Staff","9010","15:14:56"
"block-9","Thursday","Motorola Moto G (4)","ground","-85","f0:3e:90:8c:29:d8","IIITV2","9010","15:14:56"
"block-9","Thursday","Motorola Moto G (4)","ground","-87","24:c9:a1:07:2f:38","IIITV-Staff","9010","15:14:56"
"block-9","Thursday","Motorola Moto G (4)","ground","-86","24:c9:a1:47:2f:38","IIITV2","9010","15:14:56"
"block-9","Thursday","Motorola Moto G (4)","ground","-84","58:b6:33:66:51:48","IIITV-Staff","9010","15:14:56"
"block-9","Thursday","Motorola Moto G (4)","ground","-84","58:b6:33:26:51:48","IIITV1","9010","15:14:56"
"block-9","Thursday","Motorola Moto G (4)","ground","-71","2c:c5:d3:23:c2:38","IIITV1","9001","15:15:44"
"block-9","Thursday","Motorola Moto G (4)","ground","-71","2c:c5:d3:63:c2:38","IIITV-Staff","9001","15:15:44"
"block-9","Thursday","Motorola Moto G (4)","ground","-74","24:c9:a1:09:a7:28","IIITV-Staff","9001","15:15:44"
"block-9","Thursday","Motorola Moto G (4)","ground","-74","24:c9:a1:49:a7:28","IIITV2","9001","15:15:44"
"block-9","Thursday","Motorola Moto G (4)","ground","-86","f0:3e:90:0c:29:d8","IIITV1","9001","15:15:44"
"block-9","Thursday","Motorola Moto G (4)","ground","-86","f0:3e:90:4c:29:d8","IIITV-Staff","9001","15:15:44"
"block-9","Thursday","Motorola Moto G (4)","ground","-85","f0:3e:90:8c:29:d8","IIITV2","9001","15:15:44"
"block-9","Thursday","Motorola Moto G (4)","ground","-77","24:c9:a1:07:2f:38","IIITV-Staff","9001","15:15:44"
"block-9","Thursday","Motorola Moto G (4)","ground","-77","24:c9:a1:47:2f:38","IIITV2","9001","15:15:44"
"block-9","Thursday","Motorola Moto G (4)","ground","-80","58:b6:33:66:51:48","IIITV-Staff","9001","15:15:44"
"block-9","Thursday","Motorola Moto G (4)","ground","-81","58:b6:33:26:51:48","IIITV1","9001","15:15:44"
"block-9","Thursday","Motorola Moto G (4)","ground","-77","24:c9:a1:49:9f:08","IIITV2","9001","15:15:44"
"block-9","Thursday","Motorola Moto G (4)","ground","-78","24:c9:a1:09:9f:08","IIITV-Staff","9001","15:15:44"
"block-9","Thursday","Motorola Moto G (4)","ground","-83","24:c9:a1:49:9a:c8","IIITV2","9001","15:15:44"
"block-9","Thursday","Motorola Moto G (4)","ground","-81","24:c9:a1:09:9a:c8","IIITV-Staff","9001","15:15:44"
"block-9","Thursday","Motorola Moto G (4)","ground","-75","2c:c5:d3:63:c2:3c","IIITV-Staff","9001","15:15:44"
"block-9","Thursday","Motorola Moto G (4)","ground","-87","2c:c5:d3:23:c2:3c","IIITV1","9001","15:15:44"
"block-9","Thursday","Motorola Moto G (4)","ground","-74","58:b6:33:26:53:28","IIITV1","9001","15:15:44"
"block-9","Thursday","Motorola Moto G (4)","ground","-74","58:b6:33:66:53:28","IIITV-Staff","9001","15:15:44"
"block-9","Thursday","Motorola Moto G (4)","ground","-88","24:c9:a1:09:a1:58","IIITV-Staff","9001","15:15:44"
"block-9","Thursday","Motorola Moto G (4)","ground","-88","24:c9:a1:49:a1:58","IIITV2","9001","15:15:44"
"block-9","Thursday","Motorola Moto G (4)","ground","-61","f0:3e:90:4c:24:78","IIITV-Staff","9001","15:15:44"
