"building","day","device","floor","level","mac","name","room","time"
"block-9","Wednesday","","first","-54","24:c9:a1:49:9f:08","IIITV2","9111","14:07:28"
"block-9","Wednesday","","first","-69","24:c9:a1:09:9f:08","IIITV-Staff","9111","14:07:28"
"block-9","Wednesday","","first","-74","24:c9:a1:49:9a:c8","IIITV2","9111","14:07:28"
"block-9","Wednesday","","first","-74","24:c9:a1:09:9a:c8","IIITV-Staff","9111","14:07:28"
"block-9","Wednesday","","first","-35","58:b6:33:26:51:48","IIITV1","9111","14:07:28"
"block-9","Wednesday","","first","-49","58:b6:33:66:51:48","IIITV-Staff","9111","14:07:28"
"block-9","Wednesday","","first","-54","2c:c5:d3:23:c2:38","IIITV1","9111","14:07:28"
"block-9","Wednesday","","first","-55","2c:c5:d3:63:c2:38","IIITV-Staff","9111","14:07:28"
"block-9","Wednesday","","first","-68","24:c9:a1:49:a7:28","IIITV2","9111","14:07:28"
"block-9","Wednesday","","first","-68","24:c9:a1:09:a7:28","IIITV-Staff","9111","14:07:28"
"block-9","Wednesday","","first","-69","f0:3e:90:0c:29:d8","IIITV1","9111","14:07:28"
"block-9","Wednesday","","first","-69","24:c9:a1:09:a1:58","IIITV-Staff","9111","14:07:28"
"block-9","Wednesday","","first","-69","f0:3e:90:4c:29:d8","IIITV-Staff","9111","14:07:28"
"block-9","Wednesday","","first","-69","f0:3e:90:8c:29:d8","IIITV2","9111","14:07:28"
"block-9","Wednesday","","first","-70","24:c9:a1:49:a1:58","IIITV2","9111","14:07:28"
"block-9","Wednesday","","first","-71","6c:aa:b3:08:ad:b8","IIITV-Staff","9111","14:07:28"
"block-9","Wednesday","","first","-72","f0:3e:90:4c:24:78","IIITV-Staff","9111","14:07:28"
"block-9","Wednesday","","first","-72","f0:3e:90:8c:24:78","IIITV2","9111","14:07:28"
"block-9","Wednesday","","first","-74","f0:3e:90:0c:24:78","IIITV1","9111","14:07:28"
"block-9","Wednesday","","first","-76","24:c9:a1:47:2f:38","IIITV2","9111","14:07:28"
"block-9","Wednesday","","first","-77","24:c9:a1:07:2f:38","IIITV-Staff","9111","14:07:28"
"block-9","Wednesday","","first","-70","6c:aa:b3:48:ad:b8","IIITV2","9113","14:07:39"
"block-9","Wednesday","","first","-66","24:c9:a1:49:9f:08","IIITV2","9113","14:07:39"
"block-9","Wednesday","","first","-69","24:c9:a1:09:9f:08","IIITV-Staff","9113","14:07:39"
"block-9","Wednesday","","first","-74","24:c9:a1:49:9a:c8","IIITV2","9113","14:07:39"
