"building","day","device","floor","level","mac","name","room","time"
"block-9","Monday","Motorola Moto G (5S)","ground","-90","24:c9:a1:07:29:58","IIITV-Staff","9006","12:59:48"
"block-9","Monday","Motorola Moto G (5S)","ground","-89","24:c9:a1:47:29:58","IIITV2","9006","12:59:48"
"block-9","Monday","Motorola Moto G (5S)","ground","-57","24:c9:a1:47:2f:38","IIITV2","9006","12:59:48"
"block-9","Monday","Motorola Moto G (5S)","ground","-56","24:c9:a1:07:2f:38","IIITV-Staff","9006","12:59:48"
"block-9","Monday","Motorola Moto G (5S)","ground","-64","24:c9:a1:09:a1:58","IIITV-Staff","9006","12:59:48"
"block-9","Monday","Motorola Moto G (5S)","ground","-65","24:c9:a1:49:a1:58","IIITV2","9006","12:59:48"
"block-9","Monday","Motorola Moto G (5S)","ground","-69","f0:3e:90:0c:29:d8","IIITV1","9006","12:59:48"
"block-9","Monday","Motorola Moto G (5S)","ground","-69","f0:3e:90:4c:29:d8","IIITV-Staff","9006","12:59:48"
"block-9","Monday","Motorola Moto G (5S)","ground","-69","f0:3e:90:8c:29:d8","IIITV2","9006","12:59:48"
"block-9","Monday","Motorola Moto G (5S)","ground","-36","58:b6:33:26:53:28","IIITV1","9006","12:59:48"
"block-9","Monday","Motorola Moto G (5S)","ground","-79","2c:c5:d3:23:c2:3c","IIITV1","9006","12:59:48"
"block-9","Monday","Motorola Moto G (5S)","ground","-53","58:b6:33:26:53:2c","IIITV1","9006","12:59:48"
"block-9","Monday","Motorola Moto G (5S)","ground","-42","58:b6:33:66:53:28","IIITV-Staff","9006","12:59:48"
"block-9","Monday","Motorola Moto G (5S)","ground","-53","58:b6:33:66:53:2c","IIITV-Staff","9006","12:59:48"
"block-9","Monday","Motorola Moto G (5S)","ground","-69","6c:aa:b3:48:ad:b8","IIITV2","9006","12:59:48"
"block-9","Monday","Motorola Moto G (5S)","ground","-69","6c:aa:b3:08:ad:b8","IIITV-Staff","9006","12:59:48"
"block-9","Monday","","first","-46","58:b6:33:66:51:48","IIITV-Staff","9111","13:00:04"
"block-9","Monday","","first","-49","58:b6:33:26:51:48","IIITV1","9111","13:00:04"
"block-9","Monday","","first","-59","2c:c5:d3:23:c2:38","IIITV1","9111","13:00:04"
"block-9","Monday","","first","-59","2c:c5:d3:63:c2:38","IIITV-Staff","9111","13:00:04"
"block-9","Monday","","first","-71","24:c9:a1:09:9f:08","IIITV-Staff","9111","13:00:04"
"block-9","Monday","","first","-70","24:c9:a1:49:9f:08","IIITV2","9111","13:00:04"
"block-9","Monday","","first","-72","24:c9:a1:09:9a:c8","IIITV-Staff","9111","13:00:04"
"block-9","Monday","","first","-71","24:c9:a1:49:9a:c8","IIITV2","9111","13:00:04"
"block-9","Monday","","first","-77","f0:3e:90:4c:24:78","IIITV-Staff","9111","13:00:04"
"block-9","Monday","","first","-77","f0:3e:90:8c:24:78","IIITV2","9111","13:00:04"
"block-9","Monday","","first","-77","f0:3e:90:0c:24:78","IIITV1","9111","13:00:04"
"block-9","Monday","","first","-80","f0:3e:90:0c:29:d8","IIITV1","9111","12:59:43"
"block-9","Monday","","first","-80","58:b6:33:26:56:c8","IIITV1","9111","13:00:04"
"block-9","Monday","","first","-80","24:c9:a1:49:a7:28","IIITV2","9111","13:00:04"
"block-9","Monday","","first","-81","58:b6:33:66:56:c8","IIITV-Staff","9111","13:00:04"
"block-9","Monday","","first","-79","24:c9:a1:09:a7:28","IIITV-Staff","9111","13:00:04"
"block-9","Monday","","first","-84","f0:3e:90:4c:29:d8","IIITV-Staff","9111","12:59:43"
"block-9","Monday","","first","-81","24:c9:a1:49:a1:58","IIITV2","9111","13:00:04"
"block-9","Monday","","first","-78","6c:aa:b3:48:ad:b8","IIITV2","9111","13:00:04"
"block-9","Monday","","first","-79","6c:aa:b3:08:ad:b8","IIITV-Staff","9111","13:00:04"
"block-9","Monday","","first","-83","24:c9:a1:09:a1:58","IIITV-Staff","9111","13:00:04"
"block-9","Monday","","first","-46","58:b6:33:66:51:48","IIITV-Staff","9111","13:00:05"
"block-9","Monday","","first","-49","58:b6:33:26:51:48","IIITV1","9111","13:00:05"
"block-9","Monday","","first","-59","2c:c5:d3:23:c2:38","IIITV1","9111","13:00:05"
"block-9","Monday","","first","-59","2c:c5:d3:63:c2:38","IIITV-Staff","9111","13:00:05"
"block-9","Monday","","first","-71","24:c9:a1:09:9f:08","IIITV-Staff","9111","13:00:05"
"block-9","Monday","","first","-70","24:c9:a1:49:9f:08","IIITV2","9111","13:00:05"
